OBJECTID,top_height_m,base_height_m,storeys,building_height_m
37731,168.7,5.8,51.0,162.89999999999998
37732,168.7,5.8,51.0,162.89999999999998
37733,171.8,5.8,51.0,166.0
37734,27.5,6.2,,21.3
37937,36.3,9.2,6.0,27.099999999999998
37938,36.3,9.2,6.0,27.099999999999998
37939,24.5,5.2,3.0,19.3
38021,8.5,4.9,1.0,3.5999999999999996
38022,22.0,6.8,,15.2
38720,171.9,5.8,49.0,166.1
38721,171.9,5.8,49.0,166.1
38722,27.5,6.2,,21.3
38847,11.8,6.2,4.0,5.6000000000000005
38894,18.2,13.5,1.0,4.699999999999999
38982,184.3,5.4,48.0,178.9
38983,184.3,5.4,50.0,178.9
38984,184.3,5.4,50.0,178.9
38999,17.5,5.4,,12.1
39000,17.5,5.4,,12.1
39001,17.5,5.4,,12.1
39002,17.5,5.4,,12.1
39003,17.5,5.4,,12.1
39004,17.5,5.4,,12.1
39005,20.9,6.7,3.0,14.2
39080,184.3,5.4,50.0,178.9
39087,22.1,5.4,1.0,16.700000000000003
39088,15.1,4.9,3.0,10.2
39514,14.6,6.3,2.0,8.3
39759,20.1,5.1,,15.000000000000002
39760,20.1,5.1,,15.000000000000002
40515,35.4,6.5,3.0,28.9
40526,14.0,6.7,,7.3
40527,180.3,7.2,53.0,173.10000000000002
40528,180.3,7.2,54.0,173.10000000000002
40529,180.3,7.2,54.0,173.10000000000002
40530,17.2,7.0,,10.2
40556,41.4,6.4,6.0,35.0
40557,37.6,6.7,4.0,30.900000000000002
40558,35.4,6.5,3.0,28.9
40957,16.9,5.9,3.0,10.999999999999998
40958,16.9,6.9,3.0,9.999999999999998
40959,16.9,5.9,3.0,10.999999999999998
40960,16.9,6.9,3.0,9.999999999999998
40961,16.9,6.9,3.0,9.999999999999998
40962,16.9,6.9,3.0,9.999999999999998
40963,16.9,6.9,3.0,9.999999999999998
40964,16.9,6.9,3.0,9.999999999999998
40965,16.9,6.9,3.0,9.999999999999998
40966,16.9,6.9,3.0,9.999999999999998
40967,16.9,6.9,3.0,9.999999999999998
40968,16.9,6.9,3.0,9.999999999999998
40969,16.9,6.9,3.0,9.999999999999998
40970,16.9,6.9,3.0,9.999999999999998
40971,16.9,6.9,3.0,9.999999999999998
40972,16.9,6.9,3.0,9.999999999999998
40973,16.8,6.8,3.0,10.0
40975,16.9,6.9,3.0,9.999999999999998
40976,16.9,6.9,3.0,9.999999999999998
40977,16.8,6.8,3.0,10.0
40978,16.7,6.7,3.0,10.0
40979,16.9,6.9,3.0,9.999999999999998
40980,16.7,6.7,3.0,10.0
40981,16.9,6.9,3.0,9.999999999999998
40982,16.6,6.6,3.0,10.000000000000002
40983,16.8,6.8,3.0,10.0
40984,16.8,6.8,3.0,10.0
40985,16.6,6.6,3.0,10.000000000000002
40986,16.4,6.4,3.0,9.999999999999998
40987,16.7,6.7,3.0,10.0
40988,16.7,6.7,3.0,10.0
40989,16.6,6.6,3.0,10.000000000000002
40990,16.6,6.6,3.0,10.000000000000002
40991,16.4,6.4,3.0,9.999999999999998
40992,16.5,6.5,3.0,10.0
40993,16.3,6.3,3.0,10.0
40994,16.5,6.5,3.0,10.0
40995,16.3,6.3,3.0,10.0
40996,16.3,6.3,3.0,10.0
40997,16.3,6.3,3.0,10.0
40998,16.2,6.2,3.0,10.0
41485,180.3,7.2,54.0,173.10000000000002
41486,180.3,7.2,54.0,173.10000000000002
41487,180.3,7.2,54.0,173.10000000000002
41488,180.3,7.2,54.0,173.10000000000002
41489,14.0,6.7,,7.3
41994,22.0,6.5,,15.5
41995,92.8,6.5,16.0,86.3
42276,20.3,5.7,3.0,14.600000000000001
42432,14.0,6.7,,7.3
42438,180.3,7.2,54.0,173.10000000000002
42439,180.3,7.2,54.0,173.10000000000002
42443,180.3,7.2,53.0,173.10000000000002
42688,17.5,5.4,,12.1
42689,17.5,5.4,,12.1
42690,17.5,5.4,,12.1
42992,8.5,5.7,2.0,2.8
42993,63.7,8.4,15.0,55.300000000000004
42994,63.7,8.4,15.0,55.300000000000004
42995,63.7,8.4,15.0,55.300000000000004
42996,63.7,8.4,15.0,55.300000000000004
42997,63.7,8.4,15.0,55.300000000000004
42998,63.7,8.4,15.0,55.300000000000004
43633,20.2,7.2,4.0,13.0
43634,20.2,7.2,4.0,13.0
43635,20.2,7.2,4.0,13.0
43637,20.2,7.2,4.0,13.0
43638,20.2,7.2,4.0,13.0
43639,20.2,7.2,4.0,13.0
43640,20.2,7.2,4.0,13.0
43641,20.0,7.2,4.0,12.8
43642,20.2,7.2,4.0,13.0
43643,20.2,7.2,4.0,13.0
43644,20.2,7.2,4.0,13.0
43645,20.2,7.2,4.0,13.0
43646,20.2,7.2,4.0,13.0
43647,20.2,7.2,4.0,13.0
